inst#,actual,predicted,error,commodity_name
133,72.5,67.646,-4.854,'Onion (local)'
134,125,148.779,23.779,'Garlic (Imported)'
135,100,101.017,1.017,'Garlic (local) - Big Size'
136,151.5,153.551,2.051,'Palm Oil'
137,170,156.724,-13.276,'Ginger (Imported)'
138,167.5,169.837,2.337,'Soybean Oil(loose)'
139,79,79.804,0.804,'Rice - Fine'
140,720,721.826,1.826,Beef
141,157.5,157.035,-0.465,'Broiler chicken'
142,167.5,177.43,9.93,'Broiler chicken'
143,110,101.025,-8.975,'Garlic (local) - Big Size'
144,45.5,44.145,-1.355,'Ata (loose) - White'
145,117.5,108.951,-8.549,'Garlic (local) - Big Size'
146,150.5,153.021,2.521,'Palm Oil'
147,150,156.67,6.67,'Garlic (Imported)'
148,157.5,158.588,1.088,'Broiler chicken'
149,47,46.936,-0.064,'Egg Farm-Red'
150,745,745.741,0.741,Beef
151,49,47.769,-1.231,'Egg Farm-Red'
152,153.5,153.67,0.17,'Palm Oil'
153,150,154.262,4.262,'Garlic (Imported)'
154,43.5,45.595,2.095,'Ata (loose) - White'
155,145,138.767,-6.233,'Lentils - Desi-Whole'
156,153.5,153.429,-0.071,'Palm Oil'
157,240,259.28,19.28,'Green Chili (Local)'
158,175,177.489,2.489,'Pangash (big)'
159,45,49.056,4.056,'Egg Farm-Red'
160,157.5,159.269,1.769,'Broiler chicken'
161,192.5,198.808,6.308,'Ginger (Imported)'
162,168.333,175.39,7.057,'Ginger (Imported)'
163,145,138.526,-6.474,'Lentils - Desi-Whole'
164,63.5,67.169,3.669,'Rice - Medium'
165,125,141.523,16.523,'Garlic (Imported)'
166,44.5,40.836,-3.664,'Ata (loose) - White'
167,42.5,44.529,2.029,'Ata (loose) - White'
168,79,79.622,0.622,'Rice - Fine'
169,57.5,56.205,-1.295,'Ata (Packet)'
170,47.5,48.644,1.144,'Egg Farm-Red'
171,19,20.303,1.303,'Potato (Holland) - Red'
172,48.25,48.649,0.399,'Egg Farm-Red'
173,79.75,80.582,0.832,'Rice - Fine'
174,175,177.489,2.489,'Pangash (big)'
175,68.5,70.062,1.562,'Rice - Medium'
176,164,164.595,0.595,'Palm Oil'
177,167.5,160.421,-7.079,'Broiler chicken'
178,165,168.567,3.567,'Pangash (big)'
179,113.333,108.662,-4.672,'Garlic (local) - Big Size'
180,79,79.561,0.561,'Rice - Fine'
181,170,180.876,10.876,'Green Chili (Local)'
182,167.5,177.527,10.027,'Pangash (big)'
183,165,164.427,-0.573,'Ginger (Imported)'
184,710,697.701,-12.299,Beef
185,745,745.755,0.755,Beef
186,45.5,44.537,-0.963,'Ata (loose) - White'
187,173.5,172.058,-1.442,'Soybean Oil(loose)'
188,147.5,147.631,0.131,'Lentils - Desi-Whole'
189,167.5,177.458,9.958,'Broiler chicken'
190,42.5,44.468,1.968,'Ata (loose) - White'
191,170,172.744,2.744,'Pangash (big)'
192,44.5,46.637,2.137,'Egg Farm-Red'
193,165,162.237,-2.763,'Broiler chicken'
194,160,213.03,53.03,'Green Chili (Local)'
195,44.5,48.193,3.693,'Ata (loose) - White'
196,19,18.152,-0.848,'Potato (Holland) - Red'
197,147.5,117.7,-29.8,'Lentils - Desi-Whole'
198,208.75,210.686,1.936,'Green Chili (Local)'
199,68.5,69.845,1.345,'Rice - Medium'
200,175,168.819,-6.181,'Broiler chicken'
201,165,164.012,-0.988,'Broiler chicken'
202,19,20.502,1.502,'Potato (Holland) - Red'
203,169,168.673,-0.327,'Soybean Oil(loose)'
204,147.5,146.675,-0.825,'Lentils - Desi-Whole'
205,167.5,171.532,4.032,'Pangash (big)'
206,79,79.377,0.377,'Rice - Fine'
207,153.75,155.847,2.097,'Garlic (Imported)'
208,770,758.758,-11.242,Beef
209,71.667,68.219,-3.448,'Onion (local)'
210,197.5,196.261,-1.239,'Ginger (Imported)'
211,125,141.076,16.076,'Garlic (Imported)'
212,171.5,169.511,-1.989,'Soybean Oil(loose)'
213,57.5,55.827,-1.673,'Ata (Packet)'
214,130,217.18,87.18,'Green Chili (Local)'
215,175,177.48,2.48,'Pangash (big)'
216,51,50.662,-0.338,'Ata (Packet)'
217,45.5,48.534,3.034,'Egg Farm-Red'
218,125,146.651,21.651,'Ginger (Imported)'
219,152,153.387,1.387,'Palm Oil'
220,43,43.676,0.676,'Ata (loose) - White'
221,83.5,82.454,-1.046,'Rice - Fine'
222,156,153.462,-2.538,'Palm Oil'
223,160,159.917,-0.083,'Broiler chicken'
224,79.75,80.726,0.976,'Rice - Fine'
225,165,164.344,-0.656,'Palm Oil'
226,46.667,45.286,-1.381,'Ata (loose) - White'
227,130,120.474,-9.526,'Green Chili (Local)'
228,182.5,186.959,4.459,'Soybean Oil(loose)'
229,72.5,69.201,-3.299,'Onion (local)'
230,130,158.128,28.128,'Green Chili (Local)'
231,175,177.489,2.489,'Pangash (big)'
232,63,65.92,2.92,'Rice - Medium'
233,205,197.624,-7.376,'Ginger (Imported)'
234,68.5,69.789,1.289,'Rice - Medium'
235,159.5,159.356,-0.144,'Palm Oil'
236,162.5,160.711,-1.789,'Broiler chicken'
237,205,197.072,-7.928,'Garlic (Imported)'
238,105,100.586,-4.414,'Garlic (local) - Big Size'
239,175,177.489,2.489,'Pangash (big)'
240,770,758.784,-11.216,Beef
241,150,153.435,3.435,'Garlic (Imported)'
242,171.5,169.391,-2.109,'Soybean Oil(loose)'
243,63,65.968,2.968,'Rice - Medium'
