inst#,actual,predicted,error,commodity_name
1,55.5,52.614,-2.886,'Ata (Packet)'
2,48,47.697,-0.303,'Ata (Packet)'
3,55,60.061,5.061,'Ata (Packet)'
4,41.75,41.442,-0.308,'Ata (loose) - White'
5,41,41.441,0.441,'Ata (loose) - White'
6,42.5,42.78,0.28,'Ata (loose) - White'
7,736.25,734.434,-1.816,Beef
8,695,697.48,2.48,Beef
9,755,752.161,-2.839,Beef
10,165,165.335,0.335,'Broiler chicken'
11,177.5,172.822,-4.678,'Broiler chicken'
12,155,169.356,14.356,'Broiler chicken'
13,47.833,42.482,-5.351,'Egg Farm-Red'
14,47,42.774,-4.226,'Egg Farm-Red'
15,49,43.222,-5.778,'Egg Farm-Red'
16,151.667,160.4,8.733,'Garlic (Imported)'
17,205,194.97,-10.03,'Garlic (Imported)'
18,135,135.524,0.524,'Garlic (Imported)'
19,113.333,103.995,-9.338,'Garlic (local) - Big Size'
20,110,103.873,-6.127,'Garlic (local) - Big Size'
21,110,103.592,-6.408,'Garlic (local) - Big Size'
22,200,177.01,-22.99,'Ginger (Imported)'
23,165,161.257,-3.743,'Ginger (Imported)'
24,205,177.87,-27.13,'Ginger (Imported)'
25,207.5,201.895,-5.605,'Green Chili (Local)'
26,175,126.615,-48.385,'Green Chili (Local)'
27,215,210.484,-4.516,'Green Chili (Local)'
28,145,138.658,-6.342,'Lentils - Desi-Whole'
29,135,137.985,2.985,'Lentils - Desi-Whole'
30,97.5,97.702,0.202,Milk
31,73.667,60.058,-13.608,'Onion (local)'
32,72.5,51.725,-20.775,'Onion (local)'
33,75,60.117,-14.883,'Onion (local)'
34,149.5,154.179,4.679,'Palm Oil'
35,153.5,154.222,0.722,'Palm Oil'
36,164,162.878,-1.122,'Palm Oil'
37,175,170.503,-4.497,'Pangash (big)'
38,175,181.396,6.396,'Pangash (big)'
39,165,165.276,0.276,'Pangash (big)'
40,19,19.138,0.138,'Potato (Holland) - Red'
41,81.833,75.871,-5.962,'Rice - Fine'
42,77.5,75.793,-1.707,'Rice - Fine'
43,79,75.82,-3.18,'Rice - Fine'
44,63.833,60.21,-3.623,'Rice - Medium'
45,63.5,60.195,-3.305,'Rice - Medium'
46,65,75.56,10.56,'Rice - Medium'
47,170.625,170.539,-0.086,'Soybean Oil(loose)'
48,168.5,170.788,2.288,'Soybean Oil(loose)'
49,182.5,181.438,-1.062,'Soybean Oil(loose)'
50,55,50.376,-4.624,'Ata (Packet)'
51,55.5,52.614,-2.886,'Ata (Packet)'
52,52.5,51.719,-0.781,'Ata (Packet)'
53,48,47.697,-0.303,'Ata (Packet)'
54,55,60.062,5.062,'Ata (Packet)'
55,43,40.544,-2.456,'Ata (loose) - White'
56,41.75,41.442,-0.308,'Ata (loose) - White'
57,43.5,43.674,0.174,'Ata (loose) - White'
58,41,41.441,0.441,'Ata (loose) - White'
59,42.5,42.78,0.28,'Ata (loose) - White'
60,775,766.978,-8.022,Beef
61,736.25,734.465,-1.785,Beef
62,720,721.721,1.721,Beef
63,695,697.5,2.5,Beef
64,755,750.195,-4.805,Beef
65,155,152.369,-2.631,'Broiler chicken'
66,165.833,165.361,-0.472,'Broiler chicken'
67,172.5,165.247,-7.253,'Broiler chicken'
68,177.5,172.984,-4.516,'Broiler chicken'
