inst#,actual,predicted,error,commodity_name
1,57.667,52.291,-5.376,'Ata (Packet)'
2,49,46.711,-2.289,'Ata (Packet)'
3,60,57.648,-2.352,'Ata (Packet)'
4,45.75,42.106,-3.644,'Ata (loose) - White'
5,44.5,42.106,-2.394,'Ata (loose) - White'
6,49,43.053,-5.947,'Ata (loose) - White'
7,727.5,732.413,4.913,Beef
8,710,711.962,1.962,Beef
9,735,754.927,19.927,Beef
10,175,164.381,-10.619,'Broiler chicken'
11,172.5,164.381,-8.119,'Broiler chicken'
12,165,157.564,-7.436,'Broiler chicken'
13,47.875,42.704,-5.171,'Egg Farm-Red'
14,43.5,42.704,-0.796,'Egg Farm-Red'
15,46.5,42.704,-3.796,'Egg Farm-Red'
16,149.167,155.295,6.129,'Garlic (Imported)'
17,190,179.919,-10.081,'Garlic (Imported)'
18,135,145.94,10.94,'Garlic (Imported)'
19,113.75,111.378,-2.372,'Garlic (local) - Big Size'
20,110,103.913,-6.087,'Garlic (local) - Big Size'
21,110,95.387,-14.613,'Garlic (local) - Big Size'
22,167.5,161.517,-5.983,'Ginger (Imported)'
23,155,102.74,-52.26,'Ginger (Imported)'
24,160,138.579,-21.421,'Ginger (Imported)'
25,206.667,183.743,-22.924,'Green Chili (Local)'
26,150,107.615,-42.385,'Green Chili (Local)'
27,185,155.567,-29.433,'Green Chili (Local)'
28,150,145.683,-4.317,'Lentils - Desi-Whole'
29,147.5,145.683,-1.817,'Lentils - Desi-Whole'
30,97.5,94.083,-3.417,Milk
31,72.125,55.161,-16.964,'Onion (local)'
32,72.5,45.821,-26.679,'Onion (local)'
33,72.5,57.357,-15.143,'Onion (local)'
34,155.167,156.993,1.827,'Palm Oil'
35,157.5,157.614,0.114,'Palm Oil'
36,170,166.31,-3.69,'Palm Oil'
37,175,171.82,-3.18,'Pangash (big)'
38,175,181.084,6.084,'Pangash (big)'
39,165,171.113,6.113,'Pangash (big)'
40,19,22.72,3.72,'Potato (Holland) - Red'
41,80.25,79.91,-0.34,'Rice - Fine'
42,77,79.55,2.55,'Rice - Fine'
43,79,79.741,0.741,'Rice - Fine'
44,62.75,64.015,1.265,'Rice - Medium'
45,63,60.738,-2.262,'Rice - Medium'
46,65,68.662,3.662,'Rice - Medium'
47,175.75,170.743,-5.007,'Soybean Oil(loose)'
48,174.5,170.743,-3.757,'Soybean Oil(loose)'
49,182.5,184.958,2.458,'Soybean Oil(loose)'
50,53.167,48.594,-4.573,'Ata (Packet)'
51,57.667,52.577,-5.09,'Ata (Packet)'
52,55.5,48.202,-7.298,'Ata (Packet)'
53,49,46.997,-2.003,'Ata (Packet)'
54,60,57.934,-2.066,'Ata (Packet)'
55,47,42.071,-4.929,'Ata (loose) - White'
56,45.75,42.392,-3.358,'Ata (loose) - White'
57,47,43.724,-3.276,'Ata (loose) - White'
58,44.5,42.392,-2.108,'Ata (loose) - White'
59,49,43.339,-5.661,'Ata (loose) - White'
60,768.333,764.08,-4.253,Beef
61,727.5,732.292,4.792,Beef
62,720,722.882,2.882,Beef
63,710,711.842,1.842,Beef
64,735,754.807,19.807,Beef
65,175,158.555,-16.445,'Broiler chicken'
66,177.5,166.842,-10.658,'Broiler chicken'
67,172.5,166.879,-5.621,'Broiler chicken'
68,172.5,164.921,-7.579,'Broiler chicken'
69,165,158.104,-6.896,'Broiler chicken'
70,46.5,42.99,-3.51,'Egg Farm-Red'
71,47.875,42.99,-4.885,'Egg Farm-Red'
72,41,42.598,1.598,'Egg Farm-Red'
73,43.5,42.99,-0.51,'Egg Farm-Red'
74,46.5,42.99,-3.51,'Egg Farm-Red'
75,155,170.698,15.698,'Garlic (Imported)'
76,151.667,156.274,4.608,'Garlic (Imported)'
77,150,147.448,-2.552,'Garlic (Imported)'
78,190,180.898,-9.102,'Garlic (Imported)'
79,135,147.325,12.325,'Garlic (Imported)'
80,110,144.688,34.688,'Garlic (local) - Big Size'
81,113.75,111.664,-2.086,'Garlic (local) - Big Size'
82,105,103.807,-1.193,'Garlic (local) - Big Size'
83,110,104.199,-5.801,'Garlic (local) - Big Size'
84,110,95.673,-14.327,'Garlic (local) - Big Size'
85,210,171.257,-38.743,'Ginger (Imported)'
86,167.5,150.57,-16.93,'Ginger (Imported)'
87,165,112.187,-52.813,'Ginger (Imported)'
88,165,92.619,-72.381,'Ginger (Imported)'
89,160,124.522,-35.478,'Ginger (Imported)'
90,165,143.119,-21.881,'Green Chili (Local)'
91,200,176.986,-23.014,'Green Chili (Local)'
92,190,114.556,-75.444,'Green Chili (Local)'
93,155,109.601,-45.399,'Green Chili (Local)'
94,200,158.52,-41.48,'Green Chili (Local)'
95,150,145.958,-4.042,'Lentils - Desi-Whole'
96,145,145.566,0.566,'Lentils - Desi-Whole'
97,147.5,145.958,-1.542,'Lentils - Desi-Whole'
98,97.5,94.369,-3.131,Milk
