inst#,actual,predicted,error,commodity_name
1,57.667,64.432,6.765,'Ata (Packet)'
2,49,60.667,11.667,'Ata (Packet)'
3,60,64.666,4.666,'Ata (Packet)'
4,45.75,52.873,7.123,'Ata (loose) - White'
5,44.5,51.339,6.839,'Ata (loose) - White'
6,49,52.932,3.932,'Ata (loose) - White'
7,727.5,752.684,25.184,Beef
8,710,735.32,25.32,Beef
9,735,761.333,26.333,Beef
10,175,177.562,2.562,'Broiler chicken'
11,172.5,175.33,2.83,'Broiler chicken'
12,165,173.36,8.36,'Broiler chicken'
13,47.875,51.145,3.27,'Egg Farm-Red'
14,43.5,48.745,5.245,'Egg Farm-Red'
15,46.5,50.469,3.969,'Egg Farm-Red'
16,149.167,179.838,30.671,'Garlic (Imported)'
17,190,191.152,1.152,'Garlic (Imported)'
18,135,166.957,31.957,'Garlic (Imported)'
19,113.75,108.877,-4.873,'Garlic (local) - Big Size'
20,110,105.544,-4.456,'Garlic (local) - Big Size'
21,110,104.108,-5.892,'Garlic (local) - Big Size'
22,167.5,155.301,-12.199,'Ginger (Imported)'
23,155,136.29,-18.71,'Ginger (Imported)'
24,160,145.723,-14.277,'Ginger (Imported)'
25,206.667,162.679,-43.987,'Green Chili (Local)'
26,150,110.527,-39.473,'Green Chili (Local)'
27,185,129.22,-55.78,'Green Chili (Local)'
28,150,153.684,3.684,'Lentils - Desi-Whole'
29,147.5,150.898,3.398,'Lentils - Desi-Whole'
30,97.5,99.603,2.103,Milk
31,72.125,62.262,-9.863,'Onion (local)'
32,72.5,60.682,-11.818,'Onion (local)'
33,72.5,63.387,-9.113,'Onion (local)'
34,155.167,168.559,13.392,'Palm Oil'
35,157.5,167.568,10.068,'Palm Oil'
36,170,172.899,2.899,'Palm Oil'
37,175,187.818,12.818,'Pangash (big)'
38,175,186.865,11.865,'Pangash (big)'
39,165,183.794,18.794,'Pangash (big)'
40,19,29.113,10.113,'Potato (Holland) - Red'
41,80.25,87.802,7.552,'Rice - Fine'
42,77,84.787,7.787,'Rice - Fine'
43,79,86.364,7.364,'Rice - Fine'
44,62.75,72.594,9.844,'Rice - Medium'
45,63,70.762,7.762,'Rice - Medium'
46,65,72.492,7.492,'Rice - Medium'
47,175.75,188.121,12.371,'Soybean Oil(loose)'
48,174.5,184.668,10.168,'Soybean Oil(loose)'
49,182.5,192.688,10.188,'Soybean Oil(loose)'
50,53.167,61.773,8.606,'Ata (Packet)'
51,57.667,63.409,5.742,'Ata (Packet)'
52,55.5,59.97,4.47,'Ata (Packet)'
53,49,59.633,10.633,'Ata (Packet)'
54,60,63.625,3.625,'Ata (Packet)'
55,47,50.889,3.889,'Ata (loose) - White'
56,45.75,51.839,6.089,'Ata (loose) - White'
57,47,49.681,2.681,'Ata (loose) - White'
58,44.5,50.297,5.797,'Ata (loose) - White'
59,49,51.891,2.891,'Ata (loose) - White'
60,768.333,766.338,-1.995,Beef
61,727.5,751.712,24.212,Beef
62,720,745.203,25.203,Beef
63,710,734.278,24.278,Beef
64,735,760.291,25.291,Beef
65,175,172.255,-2.745,'Broiler chicken'
66,177.5,176.779,-0.721,'Broiler chicken'
67,172.5,172.87,0.37,'Broiler chicken'
68,172.5,174.371,1.871,'Broiler chicken'
69,165,172.421,7.421,'Broiler chicken'
70,46.5,48.866,2.366,'Egg Farm-Red'
71,47.875,50.145,2.27,'Egg Farm-Red'
72,41,46.315,5.315,'Egg Farm-Red'
73,43.5,47.928,4.428,'Egg Farm-Red'
74,46.5,49.423,2.923,'Egg Farm-Red'
75,155,175.549,20.549,'Garlic (Imported)'
76,151.667,178.569,26.903,'Garlic (Imported)'
77,150,172.073,22.073,'Garlic (Imported)'
78,190,190.317,0.317,'Garlic (Imported)'
79,135,165.75,30.75,'Garlic (Imported)'
80,110,112.741,2.741,'Garlic (local) - Big Size'
81,113.75,107.814,-5.936,'Garlic (local) - Big Size'
82,105,101.51,-3.49,'Garlic (local) - Big Size'
83,110,104.378,-5.622,'Garlic (local) - Big Size'
84,110,102.338,-7.662,'Garlic (local) - Big Size'
85,210,160.241,-49.759,'Ginger (Imported)'
86,167.5,154.219,-13.281,'Ginger (Imported)'
87,165,137.836,-27.164,'Ginger (Imported)'
88,165,135.331,-29.669,'Ginger (Imported)'
89,160,146.228,-13.772,'Ginger (Imported)'
90,165,124.85,-40.15,'Green Chili (Local)'
91,200,184.978,-15.022,'Green Chili (Local)'
92,190,114.868,-75.132,'Green Chili (Local)'
93,155,111.226,-43.774,'Green Chili (Local)'
94,200,131.185,-68.815,'Green Chili (Local)'
95,150,152.663,2.663,'Lentils - Desi-Whole'
96,145,149.99,4.99,'Lentils - Desi-Whole'
97,147.5,150.121,2.621,'Lentils - Desi-Whole'
98,97.5,98.561,1.061,Milk
99,70.833,61.627,-9.206,'Onion (local)'
100,72.125,61.248,-10.877,'Onion (local)'
101,67.5,57.275,-10.225,'Onion (local)'
102,72.5,60.194,-12.306,'Onion (local)'
103,72.5,62.551,-9.949,'Onion (local)'
104,154.5,170.094,15.594,'Palm Oil'
105,155.167,167.513,12.346,'Palm Oil'
106,156,163.815,7.815,'Palm Oil'
107,157.5,166.535,9.035,'Palm Oil'
108,170,171.857,1.857,'Palm Oil'
109,175,186.694,11.694,'Pangash (big)'
110,185,182.217,-2.783,'Pangash (big)'
111,175,185.823,10.823,'Pangash (big)'
112,165,182.752,17.752,'Pangash (big)'
113,19,26.97,7.97,'Potato (Holland) - Red'
114,19,28.071,9.071,'Potato (Holland) - Red'
115,80.25,86.802,6.552,'Rice - Fine'
116,77,83.758,6.758,'Rice - Fine'
117,79,85.335,6.335,'Rice - Fine'
118,62.75,71.56,8.81,'Rice - Medium'
119,63,69.716,6.716,'Rice - Medium'
120,65,71.451,6.451,'Rice - Medium'
121,170,188.287,18.287,'Soybean Oil(loose)'
122,175.75,187.059,11.309,'Soybean Oil(loose)'
123,169,181.585,12.585,'Soybean Oil(loose)'
124,174.5,183.732,9.232,'Soybean Oil(loose)'
125,182.5,191.646,9.146,'Soybean Oil(loose)'
126,53.167,60.38,7.213,'Ata (Packet)'
127,57.667,62.001,4.334,'Ata (Packet)'
128,55.5,58.543,3.043,'Ata (Packet)'
129,49,58.215,9.215,'Ata (Packet)'
130,60,62.198,2.198,'Ata (Packet)'
131,44.333,49.454,5.121,'Ata (loose) - White'
132,46.25,50.414,4.164,'Ata (loose) - White'
133,49,48.254,-0.746,'Ata (loose) - White'
134,44.5,48.871,4.371,'Ata (loose) - White'
135,49,50.464,1.464,'Ata (loose) - White'
136,768.333,764.953,-3.38,Beef
137,731,750.201,19.201,Beef
138,720,743.57,23.57,Beef
139,710,732.852,22.852,Beef
140,735,758.865,23.865,Beef
141,163.333,170.798,7.465,'Broiler chicken'
142,177.5,175.601,-1.899,'Broiler chicken'
143,172.5,172.301,-0.199,'Broiler chicken'
144,172.5,173.027,0.527,'Broiler chicken'
145,165,171.025,6.025,'Broiler chicken'
146,46.833,47.585,0.751,'Egg Farm-Red'
147,47.875,48.739,0.864,'Egg Farm-Red'
148,41,45.06,4.06,'Egg Farm-Red'
149,43.5,46.569,3.069,'Egg Farm-Red'
150,45,48.037,3.037,'Egg Farm-Red'
151,155,173.958,18.958,'Garlic (Imported)'
152,151.667,176.945,25.279,'Garlic (Imported)'
153,150,170.068,20.068,'Garlic (Imported)'
154,190,189.097,-0.903,'Garlic (Imported)'
155,135,164.159,29.159,'Garlic (Imported)'
156,110,110.985,0.985,'Garlic (local) - Big Size'
157,112.5,106.317,-6.183,'Garlic (local) - Big Size'
158,105,99.877,-5.123,'Garlic (local) - Big Size'
159,110,102.828,-7.172,'Garlic (local) - Big Size'
160,100,99.906,-0.094,'Garlic (local) - Big Size'
161,210,159.776,-50.224,'Ginger (Imported)'
162,167.5,152.8,-14.7,'Ginger (Imported)'
163,165,138.166,-26.834,'Ginger (Imported)'
164,165,133.987,-31.013,'Ginger (Imported)'
165,160,146.129,-13.871,'Ginger (Imported)'
166,155,123.752,-31.248,'Green Chili (Local)'
167,200,187.137,-12.863,'Green Chili (Local)'
168,180,115.83,-64.17,'Green Chili (Local)'
169,155,111.321,-43.679,'Green Chili (Local)'
170,190,130.297,-59.703,'Green Chili (Local)'
171,148.75,151.257,2.507,'Lentils - Desi-Whole'
172,145,148.563,3.563,'Lentils - Desi-Whole'
173,147.5,148.95,1.45,'Lentils - Desi-Whole'
174,97.5,97.135,-0.365,Milk
175,70.833,60.286,-10.547,'Onion (local)'
176,71.875,60.072,-11.803,'Onion (local)'
177,67.5,56.277,-11.223,'Onion (local)'
178,72.5,59.196,-13.304,'Onion (local)'
179,72.5,61.24,-11.26,'Onion (local)'
180,162.833,168.668,5.835,'Palm Oil'
181,155.167,166.082,10.916,'Palm Oil'
182,156,162.389,6.389,'Palm Oil'
183,157.5,165.087,7.587,'Palm Oil'
184,170,170.431,0.431,'Palm Oil'
185,175,185.062,10.062,'Pangash (big)'
