inst#,actual,predicted,error,commodity_name
1,57.667,52.764,-4.902,'Ata (Packet)'
2,49,47.942,-1.058,'Ata (Packet)'
3,60,54.076,-5.924,'Ata (Packet)'
4,45.75,41.822,-3.928,'Ata (loose) - White'
5,44.5,41.815,-2.685,'Ata (loose) - White'
6,49,43.134,-5.866,'Ata (loose) - White'
7,727.5,739.415,11.915,Beef
8,710,715.917,5.917,Beef
9,735,736.885,1.885,Beef
10,175,174.053,-0.947,'Broiler chicken'
11,172.5,174.627,2.127,'Broiler chicken'
12,165,165.037,0.037,'Broiler chicken'
13,47.875,42.843,-5.032,'Egg Farm-Red'
14,43.5,43.123,-0.377,'Egg Farm-Red'
15,46.5,43.569,-2.931,'Egg Farm-Red'
16,149.167,143.362,-5.805,'Garlic (Imported)'
17,190,151.48,-38.52,'Garlic (Imported)'
18,135,137.815,2.815,'Garlic (Imported)'
19,113.75,103.466,-10.284,'Garlic (local) - Big Size'
20,110,103.812,-6.188,'Garlic (local) - Big Size'
21,110,108.113,-1.887,'Garlic (local) - Big Size'
22,167.5,161.396,-6.104,'Ginger (Imported)'
23,155,148.277,-6.723,'Ginger (Imported)'
24,160,149.848,-10.152,'Ginger (Imported)'
25,206.667,120.245,-86.422,'Green Chili (Local)'
26,150,105.243,-44.757,'Green Chili (Local)'
27,185,123.364,-61.636,'Green Chili (Local)'
28,150,146.341,-3.659,'Lentils - Desi-Whole'
29,147.5,145.566,-1.934,'Lentils - Desi-Whole'
30,97.5,97.731,0.231,Milk
31,72.125,54.075,-18.05,'Onion (local)'
32,72.5,51.883,-20.617,'Onion (local)'
33,72.5,58.449,-14.051,'Onion (local)'
34,155.167,161.988,6.821,'Palm Oil'
35,157.5,162.036,4.536,'Palm Oil'
36,170,162.027,-7.973,'Palm Oil'
37,175,183.811,8.811,'Pangash (big)'
38,175,183.812,8.812,'Pangash (big)'
39,165,174.437,9.437,'Pangash (big)'
40,19,19.556,0.556,'Potato (Holland) - Red'
41,80.25,78.678,-1.572,'Rice - Fine'
42,77,78.609,1.609,'Rice - Fine'
43,79,78.53,-0.47,'Rice - Fine'
44,62.75,62.001,-0.749,'Rice - Medium'
45,63,61.119,-1.881,'Rice - Medium'
46,65,65.924,0.924,'Rice - Medium'
47,175.75,174.669,-1.081,'Soybean Oil(loose)'
48,174.5,174.749,0.249,'Soybean Oil(loose)'
49,182.5,183.846,1.346,'Soybean Oil(loose)'
50,53.167,50.558,-2.609,'Ata (Packet)'
51,57.667,52.757,-4.91,'Ata (Packet)'
52,55.5,51.866,-3.634,'Ata (Packet)'
53,49,47.935,-1.065,'Ata (Packet)'
54,60,54.069,-5.931,'Ata (Packet)'
55,47,40.929,-6.071,'Ata (loose) - White'
56,45.75,41.815,-3.935,'Ata (loose) - White'
57,47,43.987,-3.013,'Ata (loose) - White'
58,44.5,41.808,-2.692,'Ata (loose) - White'
59,49,43.126,-5.874,'Ata (loose) - White'
60,768.333,766.166,-2.167,Beef
61,727.5,739.436,11.936,Beef
62,720,717.883,-2.117,Beef
63,710,715.923,5.923,Beef
64,735,736.839,1.839,Beef
65,175,164.567,-10.433,'Broiler chicken'
66,177.5,174.068,-3.432,'Broiler chicken'
67,172.5,173.751,1.251,'Broiler chicken'
68,172.5,174.59,2.09,'Broiler chicken'
69,165,164.931,-0.069,'Broiler chicken'
70,46.5,42.458,-4.042,'Egg Farm-Red'
71,47.875,42.836,-5.039,'Egg Farm-Red'
72,41,43.544,2.544,'Egg Farm-Red'
73,43.5,43.554,0.054,'Egg Farm-Red'
74,46.5,43.561,-2.939,'Egg Farm-Red'
75,155,152.681,-2.319,'Garlic (Imported)'
76,151.667,149.806,-1.861,'Garlic (Imported)'
77,150,127.985,-22.015,'Garlic (Imported)'
78,190,158.206,-31.794,'Garlic (Imported)'
79,135,137.378,2.378,'Garlic (Imported)'
80,110,104.437,-5.563,'Garlic (local) - Big Size'
81,113.75,103.408,-10.342,'Garlic (local) - Big Size'
82,105,102.188,-2.812,'Garlic (local) - Big Size'
83,110,103.72,-6.28,'Garlic (local) - Big Size'
84,110,107.822,-2.178,'Garlic (local) - Big Size'
85,210,176.519,-33.481,'Ginger (Imported)'
86,167.5,159.757,-7.743,'Ginger (Imported)'
87,165,157.749,-7.251,'Ginger (Imported)'
88,165,163.703,-1.297,'Ginger (Imported)'
89,160,165.899,5.899,'Ginger (Imported)'
90,165,103.217,-61.783,'Green Chili (Local)'
91,200,150.278,-49.722,'Green Chili (Local)'
92,190,101.855,-88.145,'Green Chili (Local)'
93,155,113.029,-41.971,'Green Chili (Local)'
94,200,130.393,-69.607,'Green Chili (Local)'
95,150,146.319,-3.681,'Lentils - Desi-Whole'
96,145,146.597,1.597,'Lentils - Desi-Whole'
