Target_Horizon,Model,commodity_name,MSE,RMSE,R,RAE (%),MAPE (%)
target_14,XGBoost (Random),'Pangash (big)',27.8457,5.2769,0.8345,41.86,1.85
target_14,Gradient Boosting (Random),'Potato (Holland) - Red',36.718,6.0595,0.4024,90.2,17.23
target_14,Linear Regression (Random),'Potato (Holland) - Red',48.4853,6.9631,0.0854,99.29,18.11
target_14,M5P (Random),'Potato (Holland) - Red',43.4898,6.5947,0.2651,84.99,14.67
target_14,Random Forest (Random),'Potato (Holland) - Red',36.2761,6.023,0.4893,81.3,14.62
target_14,XGBoost (Random),'Potato (Holland) - Red',32.0466,5.661,0.5099,67.15,11.05
target_14,Gradient Boosting (Random),'Rice - Fine',4.2619,2.0644,0.6065,88.63,2.03
target_14,Linear Regression (Random),'Rice - Fine',2.5226,1.5883,0.6818,68.13,1.54
target_14,M5P (Random),'Rice - Fine',5.4316,2.3306,0.4966,107.71,2.46
target_14,Random Forest (Random),'Rice - Fine',4.2902,2.0713,0.7777,97.19,2.2
target_14,XGBoost (Random),'Rice - Fine',1.7051,1.3058,0.8129,49.94,1.13
target_14,Gradient Boosting (Random),'Rice - Medium',3.3562,1.832,0.8256,87.68,2.22
target_14,Linear Regression (Random),'Rice - Medium',3.0502,1.7465,0.622,90.1,2.28
target_14,M5P (Random),'Rice - Medium',4.7418,2.1776,0.0357,103.27,2.61
target_14,Random Forest (Random),'Rice - Medium',2.9592,1.7202,0.8096,85.4,2.15
target_14,XGBoost (Random),'Rice - Medium',3.863,1.9654,0.6687,64.49,1.64
target_14,Gradient Boosting (Random),'Soybean Oil(loose)',6.8218,2.6119,0.9238,34.75,1.09
target_14,Linear Regression (Random),'Soybean Oil(loose)',12.4814,3.5329,0.8817,49.23,1.55
target_14,M5P (Random),'Soybean Oil(loose)',25.1755,5.0175,0.6897,68.95,2.17
target_14,Random Forest (Random),'Soybean Oil(loose)',7.3451,2.7102,0.924,37.24,1.17
target_14,XGBoost (Random),'Soybean Oil(loose)',5.1502,2.2694,0.9399,27.69,0.87
target_14,Gradient Boosting (Random),Beef,50.9942,7.141,0.9589,25.25,0.59
target_14,Linear Regression (Random),Beef,194.3402,13.9406,0.9103,53.77,1.26
target_14,M5P (Random),Beef,65.4564,8.0905,0.9454,28.5,0.67
target_14,Random Forest (Random),Beef,16.8725,4.1076,0.9864,11.98,0.28
target_14,XGBoost (Random),Beef,82.988,9.1098,0.9347,17.68,0.42
target_14,Gradient Boosting (Random),Milk,10.0242,3.1661,0.9906,27.46,3.35
target_14,Linear Regression (Random),Milk,30.0614,5.4828,0.9855,50.7,6.26
target_14,M5P (Random),Milk,2.0772,1.4412,0.9937,9.13,1.23
target_14,Random Forest (Random),Milk,0.8148,0.9026,0.9969,5.64,0.79
target_14,XGBoost (Random),Milk,0.4737,0.6882,0.9981,4.75,0.58
target_30,Gradient Boosting (Random),'Ata (Packet)',6.495,2.5485,0.4662,101.73,3.6
target_30,Linear Regression (Random),'Ata (Packet)',4.3095,2.0759,0.5682,85.77,3.05
target_30,M5P (Random),'Ata (Packet)',5.5089,2.3471,0.6508,89.11,3.13
target_30,Random Forest (Random),'Ata (Packet)',4.4692,2.114,0.7682,90.55,3.21
target_30,XGBoost (Random),'Ata (Packet)',2.2756,1.5085,0.8073,53.0,1.88
target_30,Gradient Boosting (Random),'Ata (loose) - White',10.8469,3.2935,0.3828,99.26,5.76
target_30,Linear Regression (Random),'Ata (loose) - White',11.4412,3.3825,0.2432,104.52,6.24
target_30,M5P (Random),'Ata (loose) - White',9.4586,3.0755,0.41,90.35,5.24
target_30,Random Forest (Random),'Ata (loose) - White',9.843,3.1373,0.4035,97.54,5.83
target_30,XGBoost (Random),'Ata (loose) - White',4.4394,2.107,0.7588,58.19,3.43
target_30,Gradient Boosting (Random),'Broiler chicken',139.0782,11.7931,0.4571,89.15,5.04
target_30,Linear Regression (Random),'Broiler chicken',237.0835,15.3975,0.1101,104.53,5.96
target_30,M5P (Random),'Broiler chicken',109.7135,10.4744,0.6062,77.45,4.47
target_30,Random Forest (Random),'Broiler chicken',92.0016,9.5917,0.7291,41.7,2.4
target_30,XGBoost (Random),'Broiler chicken',96.1309,9.8046,0.6874,52.52,2.98
target_30,Gradient Boosting (Random),'Egg Farm-Red',11.6296,3.4102,0.6102,77.8,6.9
target_30,Linear Regression (Random),'Egg Farm-Red',15.438,3.9291,0.4022,91.5,7.89
target_30,M5P (Random),'Egg Farm-Red',17.2522,4.1536,0.2465,99.75,8.81
target_30,Random Forest (Random),'Egg Farm-Red',17.348,4.1651,0.4618,99.38,8.67
target_30,XGBoost (Random),'Egg Farm-Red',4.4299,2.1047,0.8686,43.63,3.75
target_30,Gradient Boosting (Random),'Garlic (Imported)',295.5417,17.1913,0.7303,70.29,8.51
target_30,Linear Regression (Random),'Garlic (Imported)',521.8368,22.8437,0.4224,93.52,11.23
target_30,M5P (Random),'Garlic (Imported)',122.8409,11.0834,0.8992,38.85,4.69
target_30,Random Forest (Random),'Garlic (Imported)',55.494,7.4494,0.9562,23.8,2.92
target_30,XGBoost (Random),'Garlic (Imported)',76.2648,8.733,0.9388,31.39,3.73
target_30,Gradient Boosting (Random),'Garlic (local) - Big Size',96.2557,9.811,0.5862,80.7,9.1
target_30,Linear Regression (Random),'Garlic (local) - Big Size',113.7542,10.6656,0.4845,90.41,10.21
target_30,M5P (Random),'Garlic (local) - Big Size',67.0187,8.1865,0.7388,65.12,7.44
target_30,Random Forest (Random),'Garlic (local) - Big Size',23.519,4.8496,0.9188,35.15,3.93
target_30,XGBoost (Random),'Garlic (local) - Big Size',59.74,7.7292,0.7696,62.1,6.91
target_30,Gradient Boosting (Random),'Ginger (Imported)',459.9366,21.4461,0.365,88.69,8.75
target_30,Linear Regression (Random),'Ginger (Imported)',415.6921,20.3885,0.3886,84.44,8.34
target_30,M5P (Random),'Ginger (Imported)',235.2217,15.3369,0.7204,53.05,5.42
target_30,Random Forest (Random),'Ginger (Imported)',92.2874,9.6066,0.9015,32.42,3.35
target_30,XGBoost (Random),'Ginger (Imported)',206.9859,14.387,0.7657,47.51,4.91
target_30,Gradient Boosting (Random),'Green Chili (Local)',7101.2814,84.2691,0.3556,72.89,25.17
target_30,Linear Regression (Random),'Green Chili (Local)',8345.9813,91.3563,0.1037,94.51,35.12
target_30,M5P (Random),'Green Chili (Local)',6874.7072,82.9139,0.4351,53.5,16.64
target_30,Random Forest (Random),'Green Chili (Local)',6099.0425,78.0964,0.4985,43.28,12.5
target_30,XGBoost (Random),'Green Chili (Local)',6227.2904,78.9132,0.4847,48.2,14.47
target_30,Gradient Boosting (Random),'Lentils - Desi-Whole',127.1773,11.2773,0.4359,75.07,4.59
target_30,Linear Regression (Random),'Lentils - Desi-Whole',114.37,10.6944,0.422,75.08,4.54
target_30,M5P (Random),'Lentils - Desi-Whole',109.7208,10.4748,0.4622,67.34,4.11
target_30,Random Forest (Random),'Lentils - Desi-Whole',103.1396,10.1558,0.5159,56.08,3.51
target_30,XGBoost (Random),'Lentils - Desi-Whole',95.5354,9.7742,0.5674,60.4,3.68
target_30,Gradient Boosting (Random),'Onion (local)',308.4435,17.5626,0.7122,58.95,20.72
target_30,Linear Regression (Random),'Onion (local)',545.5274,23.3565,0.3562,91.25,32.26
target_30,M5P (Random),'Onion (local)',228.5592,15.1182,0.7962,44.72,15.58
target_30,Random Forest (Random),'Onion (local)',52.6194,7.2539,0.9595,20.39,7.24
target_30,XGBoost (Random),'Onion (local)',76.0515,8.7208,0.9387,22.78,7.56
target_30,Gradient Boosting (Random),'Palm Oil',143.0273,11.9594,0.2024,81.55,2.48
target_30,Linear Regression (Random),'Palm Oil',128.3505,11.3292,0.2763,77.01,2.36
target_30,M5P (Random),'Palm Oil',138.3613,11.7627,0.203,102.46,3.22
target_30,Random Forest (Random),'Palm Oil',129.3376,11.3727,0.2567,71.93,2.18
target_30,XGBoost (Random),'Palm Oil',129.3292,11.3723,0.2882,55.05,1.61
target_30,Gradient Boosting (Random),'Pangash (big)',60.7265,7.7927,0.6796,63.33,2.93
target_30,Linear Regression (Random),'Pangash (big)',84.7989,9.2086,0.5339,83.1,3.88
target_30,M5P (Random),'Pangash (big)',77.2234,8.7877,0.5487,73.33,3.42
target_30,Random Forest (Random),'Pangash (big)',31.7344,5.6333,0.8474,30.36,1.43
target_30,XGBoost (Random),'Pangash (big)',24.3297,4.9325,0.8831,35.76,1.68
target_30,Gradient Boosting (Random),'Potato (Holland) - Red',26.36,5.1342,0.5885,94.66,18.04
target_30,Linear Regression (Random),'Potato (Holland) - Red',39.8715,6.3144,0.0411,100.9,17.68
target_30,M5P (Random),'Potato (Holland) - Red',50.9282,7.1364,0.0644,110.27,19.5
target_30,Random Forest (Random),'Potato (Holland) - Red',25.2432,5.0243,0.5922,81.32,14.0
target_30,XGBoost (Random),'Potato (Holland) - Red',15.175,3.8955,0.7381,51.31,8.29
target_30,Gradient Boosting (Random),'Rice - Fine',7.5485,2.7475,0.3755,117.76,2.75
target_30,Linear Regression (Random),'Rice - Fine',4.4214,2.1027,0.3667,89.96,2.08
