inst#,actual,predicted,error,commodity_name
132,45.5,41.507,-3.993,'Ata (loose) - White'
133,43.5,43.308,-0.192,'Ata (loose) - White'
134,43.5,41.507,-1.993,'Ata (loose) - White'
135,42.5,42.587,0.087,'Ata (loose) - White'
136,770,768.815,-1.185,Beef
137,725,735.297,10.297,Beef
138,720,722.952,2.952,Beef
139,695,699.699,4.699,Beef
140,735,737.919,2.919,Beef
141,157.5,157.414,-0.086,'Broiler chicken'
142,168.333,172.947,4.614,'Broiler chicken'
143,165,167.269,2.269,'Broiler chicken'
144,167.5,167.405,-0.095,'Broiler chicken'
145,160,158.73,-1.27,'Broiler chicken'
146,47,42.034,-4.966,'Egg Farm-Red'
147,49.167,42.576,-6.59,'Egg Farm-Red'
148,49,42.934,-6.066,'Egg Farm-Red'
149,47.5,42.934,-4.566,'Egg Farm-Red'
150,50,42.935,-7.065,'Egg Farm-Red'
151,152.5,162.877,10.377,'Garlic (Imported)'
152,150,159.797,9.797,'Garlic (Imported)'
153,150,157.707,7.707,'Garlic (Imported)'
154,205,195.523,-9.477,'Garlic (Imported)'
155,135,139.062,4.062,'Garlic (Imported)'
156,110,105.449,-4.551,'Garlic (local) - Big Size'
157,117.5,104.869,-12.631,'Garlic (local) - Big Size'
158,105,104.318,-0.682,'Garlic (local) - Big Size'
159,110,105.073,-4.927,'Garlic (local) - Big Size'
160,110,104.1,-5.9,'Garlic (local) - Big Size'
161,192.5,161.464,-31.036,'Ginger (Imported)'
162,187.5,150.986,-36.514,'Ginger (Imported)'
163,165,157.927,-7.073,'Ginger (Imported)'
164,165,159.23,-5.77,'Ginger (Imported)'
165,160,146.194,-13.806,'Ginger (Imported)'
166,230,222.236,-7.764,'Green Chili (Local)'
167,220,206.751,-13.249,'Green Chili (Local)'
168,1330,372.872,-957.128,'Green Chili (Local)'
169,190,298.658,108.658,'Green Chili (Local)'
170,215,236.32,21.32,'Green Chili (Local)'
171,147.5,144.98,-2.52,'Lentils - Desi-Whole'
172,145,144.418,-0.582,'Lentils - Desi-Whole'
173,135,145.678,10.678,'Lentils - Desi-Whole'
174,97.5,98.259,0.759,Milk
175,75,60.617,-14.383,'Onion (local)'
176,72.5,60.606,-11.894,'Onion (local)'
177,72.5,53.39,-19.11,'Onion (local)'
178,69,60.607,-8.393,'Onion (local)'
179,72.5,60.638,-11.862,'Onion (local)'
180,151.5,162.13,10.63,'Palm Oil'
181,146.5,155.241,8.741,'Palm Oil'
182,151,155.009,4.009,'Palm Oil'
183,153.5,155.241,1.741,'Palm Oil'
184,164,162.184,-1.816,'Palm Oil'
185,167.5,176.645,9.145,'Pangash (big)'
186,170,175.167,5.167,'Pangash (big)'
187,175,176.69,1.69,'Pangash (big)'
188,165,164.419,-0.581,'Pangash (big)'
189,19,19.45,0.45,'Potato (Holland) - Red'
190,19,19.449,0.449,'Potato (Holland) - Red'
191,77,86.611,9.611,'Rice - Fine'
192,77.5,79.23,1.73,'Rice - Fine'
193,79,79.281,0.281,'Rice - Fine'
194,63,60.718,-2.282,'Rice - Medium'
195,63.5,60.701,-2.799,'Rice - Medium'
196,65,60.725,-4.275,'Rice - Medium'
197,169,176.671,7.671,'Soybean Oil(loose)'
198,172,175.048,3.048,'Soybean Oil(loose)'
199,165.5,162.368,-3.132,'Soybean Oil(loose)'
200,172.5,162.437,-10.063,'Soybean Oil(loose)'
201,182.5,185.319,2.819,'Soybean Oil(loose)'
202,51,48.693,-2.307,'Ata (Packet)'
203,57.5,60.534,3.034,'Ata (Packet)'
204,52.5,60.517,8.017,'Ata (Packet)'
205,49,46.531,-2.469,'Ata (Packet)'
206,55,60.537,5.537,'Ata (Packet)'
207,43,40.765,-2.235,'Ata (loose) - White'
208,44.25,41.847,-2.403,'Ata (loose) - White'
209,43.5,43.288,-0.212,'Ata (loose) - White'
210,43.5,41.486,-2.014,'Ata (loose) - White'
211,42.5,42.567,0.067,'Ata (loose) - White'
212,770,769.006,-0.994,Beef
213,728.333,735.298,6.965,Beef
214,720,722.945,2.945,Beef
215,695,699.699,4.699,Beef
216,735,738.422,3.422,Beef
217,157.5,158.9,1.4,'Broiler chicken'
218,175,170.764,-4.236,'Broiler chicken'
219,172.5,165.264,-7.236,'Broiler chicken'
220,167.5,151.515,-15.985,'Broiler chicken'
221,160,158.829,-1.171,'Broiler chicken'
222,47,41.294,-5.706,'Egg Farm-Red'
223,48.25,44.834,-3.416,'Egg Farm-Red'
224,45,42.914,-2.086,'Egg Farm-Red'
225,47.5,43.993,-3.507,'Egg Farm-Red'
226,51,45.793,-5.207,'Egg Farm-Red'
227,153.75,161.217,7.467,'Garlic (Imported)'
228,155,164.089,9.089,'Garlic (Imported)'
229,150,156.622,6.622,'Garlic (Imported)'
230,205,195.845,-9.155,'Garlic (Imported)'
231,130,138.398,8.398,'Garlic (Imported)'
232,110,104.89,-5.11,'Garlic (local) - Big Size'
233,113.333,104.289,-9.045,'Garlic (local) - Big Size'
234,105,103.756,-1.244,'Garlic (local) - Big Size'
235,110,104.51,-5.49,'Garlic (local) - Big Size'
236,105,92.251,-12.749,'Garlic (local) - Big Size'
237,192.5,150.223,-42.277,'Ginger (Imported)'
238,168.333,146.582,-21.751,'Ginger (Imported)'
239,165,153.636,-11.364,'Ginger (Imported)'
240,165,155.553,-9.447,'Ginger (Imported)'
241,175,143.054,-31.946,'Ginger (Imported)'
242,250,230.892,-19.108,'Green Chili (Local)'
243,220,236.73,16.73,'Green Chili (Local)'
244,240,222.736,-17.264,'Green Chili (Local)'
245,170,285.103,115.103,'Green Chili (Local)'
246,225,248.75,23.75,'Green Chili (Local)'
247,145,144.092,-0.908,'Lentils - Desi-Whole'
248,145,143.529,-1.471,'Lentils - Desi-Whole'
249,135,144.61,9.61,'Lentils - Desi-Whole'
250,97.5,97.809,0.309,Milk
251,75,60.674,-14.326,'Onion (local)'
252,72.5,60.672,-11.828,'Onion (local)'
253,72.5,62.364,-10.136,'Onion (local)'
254,69,60.618,-8.382,'Onion (local)'
255,72.5,60.703,-11.797,'Onion (local)'
256,159.25,162.064,2.814,'Palm Oil'
257,152,154.727,2.727,'Palm Oil'
258,151,154.493,3.493,'Palm Oil'
259,153.5,155.347,1.847,'Palm Oil'
260,164,162.116,-1.884,'Palm Oil'
261,190,176.641,-13.359,'Pangash (big)'
262,170,175.041,5.041,'Pangash (big)'
263,175,176.688,1.688,'Pangash (big)'
264,165,162.529,-2.471,'Pangash (big)'
265,19,19.43,0.43,'Potato (Holland) - Red'
266,19,19.429,0.429,'Potato (Holland) - Red'
267,83.5,81.571,-1.929,'Rice - Fine'
268,79.75,79.241,-0.509,'Rice - Fine'
269,77.5,79.116,1.616,'Rice - Fine'
270,79,79.167,0.167,'Rice - Fine'
271,68.5,60.722,-7.778,'Rice - Medium'
272,63,60.674,-2.326,'Rice - Medium'
273,63.5,60.657,-2.843,'Rice - Medium'
274,65,60.681,-4.319,'Rice - Medium'
275,176,176.666,0.666,'Soybean Oil(loose)'
276,171.25,174.92,3.67,'Soybean Oil(loose)'
277,165.5,162.299,-3.201,'Soybean Oil(loose)'
278,172.5,174.918,2.418,'Soybean Oil(loose)'
279,182.5,185.317,2.817,'Soybean Oil(loose)'
280,51,48.688,-2.312,'Ata (Packet)'
281,57.5,60.515,3.015,'Ata (Packet)'
282,52.5,60.513,8.013,'Ata (Packet)'
283,49,46.526,-2.474,'Ata (Packet)'
284,55,60.533,5.533,'Ata (Packet)'
285,43,40.76,-2.24,'Ata (loose) - White'
286,45.5,41.482,-4.018,'Ata (loose) - White'
287,43.5,43.283,-0.217,'Ata (loose) - White'
288,43.5,41.481,-2.019,'Ata (loose) - White'
289,42.5,42.562,0.062,'Ata (loose) - White'
290,770,769.127,-0.873,Beef
291,728.333,734.675,6.342,Beef
292,720,722.976,2.976,Beef
293,710,699.735,-10.265,Beef
294,735,738.121,3.121,Beef
295,157.5,160.167,2.667,'Broiler chicken'
296,175,162.51,-12.49,'Broiler chicken'
297,172.5,165.237,-7.263,'Broiler chicken'
298,167.5,161.347,-6.153,'Broiler chicken'
299,165,158.805,-6.195,'Broiler chicken'
300,47,41.289,-5.711,'Egg Farm-Red'
301,48.5,44.531,-3.969,'Egg Farm-Red'
302,45,44.348,-0.652,'Egg Farm-Red'
303,45.5,44.708,-0.792,'Egg Farm-Red'
304,49,45.789,-3.211,'Egg Farm-Red'
305,153.75,161.535,7.785,'Garlic (Imported)'
306,155,164.584,9.584,'Garlic (Imported)'
307,150,157.514,7.514,'Garlic (Imported)'
308,205,201.661,-3.339,'Garlic (Imported)'
309,130,138.917,8.917,'Garlic (Imported)'
310,110,104.975,-5.025,'Garlic (local) - Big Size'
311,113.333,104.56,-8.773,'Garlic (local) - Big Size'
312,105,103.839,-1.161,'Garlic (local) - Big Size'
313,110,104.591,-5.409,'Garlic (local) - Big Size'
314,105,92.005,-12.995,'Garlic (local) - Big Size'
315,192.5,160.654,-31.846,'Ginger (Imported)'
316,168.333,156.605,-11.728,'Ginger (Imported)'
317,165,159.728,-5.272,'Ginger (Imported)'
318,165,155.136,-9.864,'Ginger (Imported)'
319,175,154.765,-20.235,'Ginger (Imported)'
320,227.5,195.07,-32.43,'Green Chili (Local)'
321,205,210.344,5.344,'Green Chili (Local)'
322,150,188.391,38.391,'Green Chili (Local)'
323,170,252.782,82.782,'Green Chili (Local)'
324,175,202.316,27.316,'Green Chili (Local)'
325,147.5,148.722,1.222,'Lentils - Desi-Whole'
326,145,143.513,-1.487,'Lentils - Desi-Whole'
327,135,144.596,9.596,'Lentils - Desi-Whole'
328,97.5,97.804,0.304,Milk
329,72.5,60.674,-11.826,'Onion (local)'
330,72.5,60.656,-11.844,'Onion (local)'
331,72.5,62.364,-10.136,'Onion (local)'
332,72.5,60.66,-11.84,'Onion (local)'
333,72.5,60.702,-11.798,'Onion (local)'
334,159.25,162.088,2.838,'Palm Oil'
335,151,154.521,3.521,'Palm Oil'
336,153.5,155.354,1.854,'Palm Oil'
337,164,162.139,-1.861,'Palm Oil'
338,167.5,185.358,17.858,'Pangash (big)'
