inst#,actual,predicted,error,commodity_name
132,45.5,44.352,-1.148,'Ata (loose) - White'
133,43.5,47.326,3.826,'Ata (loose) - White'
134,43.5,44.352,0.852,'Ata (loose) - White'
135,42.5,45.497,2.997,'Ata (loose) - White'
136,770,769.501,-0.499,Beef
137,725,732.214,7.214,Beef
138,720,725.526,5.526,Beef
139,695,709.598,14.598,Beef
140,735,751.049,16.049,Beef
141,157.5,159.796,2.296,'Broiler chicken'
142,168.333,167.408,-0.925,'Broiler chicken'
143,165,169.431,4.431,'Broiler chicken'
144,167.5,167.408,-0.092,'Broiler chicken'
145,160,161.05,1.05,'Broiler chicken'
146,47,45.497,-1.503,'Egg Farm-Red'
147,49.167,45.497,-3.67,'Egg Farm-Red'
148,49,47.187,-1.813,'Egg Farm-Red'
149,47.5,47.187,-0.313,'Egg Farm-Red'
150,50,47.187,-2.813,'Egg Farm-Red'
151,152.5,169.408,16.908,'Garlic (Imported)'
152,150,167.323,17.323,'Garlic (Imported)'
153,150,158.549,8.549,'Garlic (Imported)'
154,205,188.231,-16.769,'Garlic (Imported)'
155,135,140.928,5.928,'Garlic (Imported)'
156,110,133.346,23.346,'Garlic (local) - Big Size'
157,117.5,108.38,-9.12,'Garlic (local) - Big Size'
158,105,102.862,-2.138,'Garlic (local) - Big Size'
159,110,104.307,-5.693,'Garlic (local) - Big Size'
160,110,99.426,-10.574,'Garlic (local) - Big Size'
161,192.5,178.374,-14.126,'Ginger (Imported)'
162,187.5,156.109,-31.391,'Ginger (Imported)'
163,165,130.072,-34.928,'Ginger (Imported)'
164,165,111.166,-53.834,'Ginger (Imported)'
165,160,141.377,-18.623,'Ginger (Imported)'
166,230,181.483,-48.517,'Green Chili (Local)'
167,220,192.527,-27.473,'Green Chili (Local)'
168,1330,516.675,-813.325,'Green Chili (Local)'
169,190,234.711,44.711,'Green Chili (Local)'
170,215,186.752,-28.248,'Green Chili (Local)'
171,147.5,141.178,-6.322,'Lentils - Desi-Whole'
172,145,141.178,-3.822,'Lentils - Desi-Whole'
173,135,135.532,0.532,'Lentils - Desi-Whole'
174,97.5,97.08,-0.42,Milk
175,75,57.721,-17.279,'Onion (local)'
176,72.5,56.483,-16.017,'Onion (local)'
177,72.5,53.341,-19.159,'Onion (local)'
178,69,56.483,-12.517,'Onion (local)'
179,72.5,57.721,-14.779,'Onion (local)'
180,151.5,165.515,14.015,'Palm Oil'
181,146.5,156.015,9.515,'Palm Oil'
182,151,156.015,5.015,'Palm Oil'
183,153.5,160.386,6.886,'Palm Oil'
184,164,166.174,2.174,'Palm Oil'
185,167.5,173.144,5.644,'Pangash (big)'
186,170,172.668,2.668,'Pangash (big)'
187,175,180.587,5.587,'Pangash (big)'
188,165,168.197,3.197,'Pangash (big)'
189,19,22.949,3.949,'Potato (Holland) - Red'
190,19,22.949,3.949,'Potato (Holland) - Red'
191,77,89.185,12.185,'Rice - Fine'
192,77.5,81.802,4.302,'Rice - Fine'
193,79,81.802,2.802,'Rice - Fine'
194,63,66.943,3.943,'Rice - Medium'
195,63.5,63.727,0.227,'Rice - Medium'
196,65,70.799,5.799,'Rice - Medium'
197,169,181.068,12.068,'Soybean Oil(loose)'
198,172,173.15,1.15,'Soybean Oil(loose)'
199,165.5,170.986,5.486,'Soybean Oil(loose)'
200,172.5,171.233,-1.267,'Soybean Oil(loose)'
201,182.5,184.818,2.318,'Soybean Oil(loose)'
202,51,49.382,-1.618,'Ata (Packet)'
203,57.5,56.835,-0.665,'Ata (Packet)'
204,52.5,52.525,0.025,'Ata (Packet)'
205,49,47.689,-1.311,'Ata (Packet)'
206,55,56.835,1.835,'Ata (Packet)'
207,43,40.574,-2.426,'Ata (loose) - White'
208,44.25,41.787,-2.463,'Ata (loose) - White'
209,43.5,44.762,1.262,'Ata (loose) - White'
210,43.5,41.787,-1.713,'Ata (loose) - White'
211,42.5,42.932,0.432,'Ata (loose) - White'
212,770,768.567,-1.433,Beef
213,728.333,731.28,2.947,Beef
214,720,724.592,4.592,Beef
215,695,708.664,13.664,Beef
216,735,750.115,15.115,Beef
217,157.5,157.858,0.358,'Broiler chicken'
218,175,165.471,-9.529,'Broiler chicken'
219,172.5,167.494,-5.006,'Broiler chicken'
220,167.5,167.779,0.279,'Broiler chicken'
221,160,159.113,-0.887,'Broiler chicken'
222,47,41.787,-5.213,'Egg Farm-Red'
223,48.25,44.762,-3.488,'Egg Farm-Red'
224,45,44.623,-0.377,'Egg Farm-Red'
225,47.5,44.762,-2.738,'Egg Farm-Red'
226,51,44.762,-6.238,'Egg Farm-Red'
227,153.75,167.816,14.066,'Garlic (Imported)'
228,155,168.755,13.755,'Garlic (Imported)'
229,150,157.558,7.558,'Garlic (Imported)'
230,205,187.784,-17.216,'Garlic (Imported)'
231,130,139.109,9.109,'Garlic (Imported)'
232,110,131.04,21.04,'Garlic (local) - Big Size'
233,113.333,105.876,-7.457,'Garlic (local) - Big Size'
234,105,100.556,-4.444,'Garlic (local) - Big Size'
235,110,102.001,-7.999,'Garlic (local) - Big Size'
236,105,92.292,-12.708,'Garlic (local) - Big Size'
237,192.5,180.737,-11.763,'Ginger (Imported)'
238,168.333,161.684,-6.649,'Ginger (Imported)'
239,165,126.774,-38.226,'Ginger (Imported)'
240,165,111.034,-53.966,'Ginger (Imported)'
241,175,166.441,-8.559,'Ginger (Imported)'
242,250,166.939,-83.061,'Green Chili (Local)'
243,220,182.215,-37.785,'Green Chili (Local)'
244,240,177.066,-62.934,'Green Chili (Local)'
245,170,187.435,17.435,'Green Chili (Local)'
246,225,164.021,-60.979,'Green Chili (Local)'
247,145,138.872,-6.128,'Lentils - Desi-Whole'
248,145,138.872,-6.128,'Lentils - Desi-Whole'
249,135,138.872,3.872,'Lentils - Desi-Whole'
250,97.5,94.575,-2.925,Milk
251,75,62.173,-12.827,'Onion (local)'
252,72.5,62.173,-10.327,'Onion (local)'
253,72.5,64.27,-8.23,'Onion (local)'
254,69,55.101,-13.899,'Onion (local)'
255,72.5,67.413,-5.087,'Onion (local)'
256,159.25,163.209,3.959,'Palm Oil'
257,152,153.709,1.709,'Palm Oil'
258,151,153.709,2.709,'Palm Oil'
259,153.5,158.08,4.58,'Palm Oil'
260,164,163.867,-0.133,'Palm Oil'
261,190,171.397,-18.603,'Pangash (big)'
262,170,170.589,0.589,'Pangash (big)'
263,175,178.84,3.84,'Pangash (big)'
264,165,165.891,0.891,'Pangash (big)'
265,19,20.617,1.617,'Potato (Holland) - Red'
266,19,20.617,1.617,'Potato (Holland) - Red'
267,83.5,87.665,4.165,'Rice - Fine'
268,79.75,80.281,0.531,'Rice - Fine'
269,77.5,79.182,1.682,'Rice - Fine'
270,79,79.182,0.182,'Rice - Fine'
271,68.5,69.32,0.82,'Rice - Medium'
272,63,64.323,1.323,'Rice - Medium'
273,63.5,61.107,-2.393,'Rice - Medium'
274,65,68.179,3.179,'Rice - Medium'
275,176,179.322,3.322,'Soybean Oil(loose)'
276,171.25,171.071,-0.179,'Soybean Oil(loose)'
277,165.5,168.68,3.18,'Soybean Oil(loose)'
278,172.5,168.927,-3.573,'Soybean Oil(loose)'
279,182.5,183.614,1.114,'Soybean Oil(loose)'
280,51,49.382,-1.618,'Ata (Packet)'
281,57.5,53.957,-3.543,'Ata (Packet)'
282,52.5,52.525,0.025,'Ata (Packet)'
283,49,47.689,-1.311,'Ata (Packet)'
284,55,56.835,1.835,'Ata (Packet)'
285,43,40.574,-2.426,'Ata (loose) - White'
286,45.5,41.787,-3.713,'Ata (loose) - White'
287,43.5,44.762,1.262,'Ata (loose) - White'
288,43.5,41.787,-1.713,'Ata (loose) - White'
289,42.5,42.932,0.432,'Ata (loose) - White'
290,770,768.567,-1.433,Beef
291,728.333,731.28,2.947,Beef
292,720,724.592,4.592,Beef
293,710,708.664,-1.336,Beef
294,735,750.115,15.115,Beef
295,157.5,157.858,0.358,'Broiler chicken'
296,175,167.779,-7.221,'Broiler chicken'
297,172.5,167.494,-5.006,'Broiler chicken'
298,167.5,170.741,3.241,'Broiler chicken'
299,165,159.683,-5.317,'Broiler chicken'
300,47,41.787,-5.213,'Egg Farm-Red'
301,48.5,44.762,-3.738,'Egg Farm-Red'
302,45,44.762,-0.238,'Egg Farm-Red'
303,45.5,44.762,-0.738,'Egg Farm-Red'
304,49,45.623,-3.377,'Egg Farm-Red'
305,153.75,166.73,12.98,'Garlic (Imported)'
