inst#,actual,predicted,error,commodity_name
133,72.5,57.011,-15.489,'Onion (local)'
134,125,152.449,27.449,'Garlic (Imported)'
135,105,97.322,-7.678,'Garlic (local) - Big Size'
136,157.5,154.984,-2.516,'Palm Oil'
137,165,140.244,-24.756,'Ginger (Imported)'
138,171.5,172.915,1.415,'Soybean Oil(loose)'
139,79,78.844,-0.156,'Rice - Fine'
140,720,732.666,12.666,Beef
141,162.5,159.23,-3.27,'Broiler chicken'
142,172.5,171.158,-1.342,'Broiler chicken'
143,110,97.381,-12.619,'Garlic (local) - Big Size'
144,44.75,44.209,-0.541,'Ata (loose) - White'
145,115,104.374,-10.626,'Garlic (local) - Big Size'
146,155.75,157.504,1.754,'Palm Oil'
147,148.333,164.034,15.701,'Garlic (Imported)'
148,173.75,163.588,-10.162,'Broiler chicken'
149,48,43.449,-4.551,'Egg Farm-Red'
150,745,745.669,0.669,Beef
151,45,41.572,-3.428,'Egg Farm-Red'
152,157.5,155.032,-2.468,'Palm Oil'
153,150,157.83,7.83,'Garlic (Imported)'
154,47,43.202,-3.798,'Ata (loose) - White'
155,145,141.25,-3.75,'Lentils - Desi-Whole'
156,157.5,155.08,-2.42,'Palm Oil'
157,120,145.664,25.664,'Green Chili (Local)'
158,175,178.83,3.83,'Pangash (big)'
159,45,42.286,-2.714,'Egg Farm-Red'
160,163.333,164.083,0.75,'Broiler chicken'
161,190,171.679,-18.321,'Ginger (Imported)'
162,168.75,163.707,-5.043,'Ginger (Imported)'
163,145,141.298,-3.702,'Lentils - Desi-Whole'
164,64,63.519,-0.481,'Rice - Medium'
165,125,149.983,24.983,'Garlic (Imported)'
166,44.5,40.058,-4.442,'Ata (loose) - White'
167,49,44.78,-4.22,'Ata (loose) - White'
168,79,78.862,-0.138,'Rice - Fine'
169,58,56.584,-1.416,'Ata (Packet)'
170,45.5,43.539,-1.961,'Egg Farm-Red'
171,19,20.076,1.076,'Potato (Holland) - Red'
172,47,44.934,-2.066,'Egg Farm-Red'
173,79.75,80.026,0.276,'Rice - Fine'
174,175,178.878,3.878,'Pangash (big)'
175,68.5,67.17,-1.33,'Rice - Medium'
176,170,164.94,-5.06,'Palm Oil'
177,162.5,161.217,-1.283,'Broiler chicken'
178,165,174.052,9.052,'Pangash (big)'
179,113.75,104.73,-9.02,'Garlic (local) - Big Size'
180,79,78.91,-0.09,'Rice - Fine'
181,150,143.615,-6.385,'Green Chili (Local)'
182,175,180.154,5.154,'Pangash (big)'
183,165,145.927,-19.073,'Ginger (Imported)'
184,710,719.597,9.597,Beef
185,745,745.765,0.765,Beef
186,46.75,44.488,-2.262,'Ata (loose) - White'
187,174.5,175.525,1.025,'Soybean Oil(loose)'
188,147.5,147.07,-0.43,'Lentils - Desi-Whole'
189,172.5,172.084,-0.416,'Broiler chicken'
190,49,44.828,-4.172,'Ata (loose) - White'
191,185,174.791,-10.209,'Pangash (big)'
192,41,41.351,0.351,'Egg Farm-Red'
193,160,165.946,5.946,'Broiler chicken'
194,130,145.546,15.546,'Green Chili (Local)'
195,44.5,42.572,-1.928,'Ata (loose) - White'
196,21,20.423,-0.577,'Potato (Holland) - Red'
197,147.5,137.429,-10.071,'Lentils - Desi-Whole'
198,158.333,158.871,0.537,'Green Chili (Local)'
199,68.5,67.274,-1.226,'Rice - Medium'
200,173.125,170.128,-2.997,'Broiler chicken'
201,165,166.801,1.801,'Broiler chicken'
202,19,20.127,1.127,'Potato (Holland) - Red'
203,169,172.954,3.954,'Soybean Oil(loose)'
204,147.5,147.678,0.178,'Lentils - Desi-Whole'
205,175,177.677,2.677,'Pangash (big)'
206,79,79.054,0.054,'Rice - Fine'
207,155,160.625,5.625,'Garlic (Imported)'
208,768.333,762.908,-5.425,Beef
209,75,61.823,-13.177,'Onion (local)'
210,215,172.577,-42.423,'Ginger (Imported)'
211,135,149.547,14.547,'Garlic (Imported)'
212,171.5,173.26,1.76,'Soybean Oil(loose)'
213,57.167,56.641,-0.526,'Ata (Packet)'
214,130,439.346,309.346,'Green Chili (Local)'
215,175,179.005,4.005,'Pangash (big)'
216,50.5,54.58,4.08,'Ata (Packet)'
217,43.5,44.209,0.709,'Egg Farm-Red'
218,125,141.57,16.57,'Ginger (Imported)'
219,155.167,157.902,2.735,'Palm Oil'
