inst#,actual,predicted,error,commodity_name
133,72.5,71.064,-1.436,'Onion (local)'
134,125,136.988,11.988,'Garlic (Imported)'
135,105,106.117,1.117,'Garlic (local) - Big Size'
136,157.5,154.601,-2.899,'Palm Oil'
137,165,168.879,3.879,'Ginger (Imported)'
138,171.5,171.242,-0.258,'Soybean Oil(loose)'
139,79,79.017,0.017,'Rice - Fine'
140,720,722.211,2.211,Beef
141,162.5,162.737,0.237,'Broiler chicken'
142,172.5,176.82,4.32,'Broiler chicken'
143,110,104.253,-5.747,'Garlic (local) - Big Size'
144,44.75,44.329,-0.421,'Ata (loose) - White'
145,115,107.743,-7.257,'Garlic (local) - Big Size'
146,155.75,152.781,-2.969,'Palm Oil'
147,148.333,150.018,1.685,'Garlic (Imported)'
148,173.75,168.958,-4.792,'Broiler chicken'
149,48,46.185,-1.815,'Egg Farm-Red'
150,745,742.497,-2.503,Beef
151,45,45.472,0.472,'Egg Farm-Red'
152,157.5,152.856,-4.644,'Palm Oil'
153,150,148.613,-1.387,'Garlic (Imported)'
154,47,45.441,-1.559,'Ata (loose) - White'
155,145,142.489,-2.511,'Lentils - Desi-Whole'
156,157.5,154.601,-2.899,'Palm Oil'
157,120,132.773,12.773,'Green Chili (Local)'
158,175,178.117,3.117,'Pangash (big)'
159,45,45.937,0.937,'Egg Farm-Red'
160,163.333,167.988,4.655,'Broiler chicken'
161,190,201.097,11.097,'Ginger (Imported)'
162,168.75,173.138,4.388,'Ginger (Imported)'
163,145,141.742,-3.258,'Lentils - Desi-Whole'
164,64,63.809,-0.191,'Rice - Medium'
165,125,131.267,6.267,'Garlic (Imported)'
166,44.5,41.382,-3.118,'Ata (loose) - White'
167,49,45.939,-3.061,'Ata (loose) - White'
168,79,79.017,0.017,'Rice - Fine'
169,58,56.594,-1.406,'Ata (Packet)'
170,45.5,45.507,0.007,'Egg Farm-Red'
171,19,18.986,-0.014,'Potato (Holland) - Red'
172,47,46.119,-0.881,'Egg Farm-Red'
173,79.75,77.391,-2.359,'Rice - Fine'
174,175,178.117,3.117,'Pangash (big)'
175,68.5,68.639,0.139,'Rice - Medium'
176,170,167.903,-2.097,'Palm Oil'
177,162.5,160.578,-1.922,'Broiler chicken'
178,165,166.937,1.937,'Pangash (big)'
179,113.75,105.897,-7.853,'Garlic (local) - Big Size'
180,79,79.017,0.017,'Rice - Fine'
181,150,154.782,4.782,'Green Chili (Local)'
182,175,175.822,0.822,'Pangash (big)'
183,165,163.252,-1.748,'Ginger (Imported)'
184,710,709.253,-0.747,Beef
185,745,743.64,-1.36,Beef
186,46.75,45.103,-1.647,'Ata (loose) - White'
187,174.5,173.606,-0.894,'Soybean Oil(loose)'
188,147.5,148.987,1.487,'Lentils - Desi-Whole'
189,172.5,174.894,2.394,'Broiler chicken'
190,49,45.939,-3.061,'Ata (loose) - White'
191,185,177.672,-7.328,'Pangash (big)'
192,41,44.211,3.211,'Egg Farm-Red'
193,160,163.514,3.514,'Broiler chicken'
194,130,133.867,3.867,'Green Chili (Local)'
195,44.5,45.868,1.368,'Ata (loose) - White'
196,21,18.571,-2.429,'Potato (Holland) - Red'
197,147.5,147.806,0.306,'Lentils - Desi-Whole'
198,158.333,163.889,5.556,'Green Chili (Local)'
199,68.5,69.416,0.916,'Rice - Medium'
200,173.125,172.358,-0.767,'Broiler chicken'
201,165,164.472,-0.528,'Broiler chicken'
202,19,22.56,3.56,'Potato (Holland) - Red'
203,169,170.739,1.739,'Soybean Oil(loose)'
204,147.5,145.767,-1.733,'Lentils - Desi-Whole'
205,175,176.467,1.467,'Pangash (big)'
206,79,79.001,0.001,'Rice - Fine'
207,155,150.109,-4.891,'Garlic (Imported)'
208,768.333,769.15,0.817,Beef
209,75,70.713,-4.287,'Onion (local)'
210,215,214.15,-0.85,'Ginger (Imported)'
211,135,132.647,-2.353,'Garlic (Imported)'
212,171.5,171.203,-0.297,'Soybean Oil(loose)'
213,57.167,58.024,0.857,'Ata (Packet)'
214,130,119.582,-10.418,'Green Chili (Local)'
215,175,178.682,3.682,'Pangash (big)'
216,50.5,53.215,2.715,'Ata (Packet)'
217,43.5,45.49,1.99,'Egg Farm-Red'
218,125,127.357,2.357,'Ginger (Imported)'
219,155.167,157.086,1.919,'Palm Oil'
220,43,45.353,2.353,'Ata (loose) - White'
221,83.5,83.269,-0.231,'Rice - Fine'
222,156,156.794,0.794,'Palm Oil'
223,170,168.348,-1.652,'Broiler chicken'
224,80.25,77.76,-2.49,'Rice - Fine'
225,170,167.886,-2.114,'Palm Oil'
226,46.25,46.567,0.317,'Ata (loose) - White'
227,150,160.799,10.799,'Green Chili (Local)'
228,182.5,182.632,0.132,'Soybean Oil(loose)'
229,72.5,73.206,0.706,'Onion (local)'
230,190,154.775,-35.225,'Green Chili (Local)'
231,175,178.682,3.682,'Pangash (big)'
232,62.75,64.05,1.3,'Rice - Medium'
233,215,203.836,-11.164,'Ginger (Imported)'
234,68.5,69.416,0.916,'Rice - Medium'
235,162.333,162.444,0.111,'Palm Oil'
236,167.5,165.262,-2.238,'Broiler chicken'
237,190,190.561,0.561,'Garlic (Imported)'
238,105,105.428,0.428,'Garlic (local) - Big Size'
239,175,178.682,3.682,'Pangash (big)'
240,768.333,769.308,0.975,Beef
241,149.167,153.303,4.137,'Garlic (Imported)'
242,171.5,170.84,-0.66,'Soybean Oil(loose)'
243,62.75,64.05,1.3,'Rice - Medium'
244,125,118.282,-6.718,'Ginger (Imported)'
245,157.5,154.585,-2.915,'Palm Oil'
246,157.5,157.245,-0.255,'Palm Oil'
247,72.5,69.335,-3.165,'Onion (local)'
248,47,45.336,-1.664,'Ata (loose) - White'
249,710,707.498,-2.502,Beef
250,165,163.797,-1.203,'Ginger (Imported)'
251,19,18.855,-0.145,'Potato (Holland) - Red'
252,110,107.919,-2.081,'Garlic (local) - Big Size'
253,43.5,45.49,1.99,'Egg Farm-Red'
254,110,104.876,-5.124,'Garlic (local) - Big Size'
255,97.5,97.6,0.1,Milk
256,175.75,175.989,0.239,'Soybean Oil(loose)'
257,110,105.692,-4.308,'Garlic (local) - Big Size'
258,110,107.919,-2.081,'Garlic (local) - Big Size'
259,155,150.955,-4.045,'Garlic (Imported)'
260,150,149.754,-0.246,'Garlic (Imported)'
261,80.25,80.989,0.739,'Rice - Fine'
262,125,118.282,-6.718,'Ginger (Imported)'
263,169,169.827,0.827,'Soybean Oil(loose)'
264,72.5,73.141,0.641,'Onion (local)'
265,60,57.722,-2.278,'Ata (Packet)'
266,768.333,769.308,0.975,Beef
267,190,166.764,-23.236,'Green Chili (Local)'
268,167.5,167.895,0.395,'Ginger (Imported)'
269,125,124.437,-0.563,'Garlic (Imported)'
270,172.5,175.159,2.659,'Broiler chicken'
271,157.5,157.124,-0.376,'Palm Oil'
272,206.667,193.949,-12.717,'Green Chili (Local)'
273,171.5,173.364,1.864,'Soybean Oil(loose)'
274,79,77.916,-1.084,'Rice - Fine'
275,72.5,72.03,-0.47,'Onion (local)'
276,125,126.514,1.514,'Garlic (Imported)'
277,72.5,67.126,-5.374,'Onion (local)'
278,41,44.351,3.351,'Egg Farm-Red'
279,145,149.4,4.4,'Lentils - Desi-Whole'
280,77,76.805,-0.195,'Rice - Fine'
281,190,190.062,0.062,'Garlic (Imported)'
282,52.5,55.38,2.88,'Ata (Packet)'
283,710,707.336,-2.664,Beef
284,165,166.67,1.67,'Broiler chicken'
285,90,91.615,1.615,'Garlic (local) - Big Size'
286,735,734.202,-0.798,Beef
287,67.5,71.559,4.059,'Onion (local)'
288,155,163.359,8.359,'Ginger (Imported)'
289,165,167.899,2.899,'Green Chili (Local)'
290,200,192.468,-7.532,'Green Chili (Local)'
291,44.5,45.655,1.155,'Ata (loose) - White'
292,115,120.069,5.069,'Ginger (Imported)'
293,55.5,55.777,0.277,'Ata (Packet)'
294,44.5,44.202,-0.298,'Egg Farm-Red'
295,46.25,47.07,0.82,'Ata (loose) - White'
296,64,63.736,-0.264,'Rice - Medium'
297,43.5,45.16,1.66,'Egg Farm-Red'
298,46.833,46.908,0.075,'Egg Farm-Red'
299,735,734.785,-0.215,Beef
300,170,166.265,-3.735,'Palm Oil'
301,110,104.394,-5.606,'Garlic (local) - Big Size'
302,155,175.213,20.213,'Green Chili (Local)'
303,171.5,173.852,2.352,'Soybean Oil(loose)'
304,178.667,178.64,-0.027,'Soybean Oil(loose)'
305,768.333,771.105,2.771,Beef
306,163.333,164.826,1.492,'Broiler chicken'
307,200,185.142,-14.858,'Green Chili (Local)'
308,172.5,170.614,-1.886,'Broiler chicken'
309,44.5,45.231,0.731,'Egg Farm-Red'
310,150,147.509,-2.491,'Garlic (Imported)'
311,63,63.168,0.168,'Rice - Medium'
312,157.5,154.791,-2.709,'Palm Oil'
313,182.5,184.21,1.71,'Soybean Oil(loose)'
314,190,194.584,4.584,'Garlic (Imported)'
315,182.5,175.342,-7.158,'Broiler chicken'
316,157.5,160.083,2.583,'Palm Oil'
317,44.5,48.036,3.536,'Egg Farm-Red'
318,145,141.233,-3.767,'Lentils - Desi-Whole'
319,55.5,55.388,-0.112,'Ata (Packet)'
320,70.833,74.328,3.495,'Onion (local)'
321,163.333,167.43,4.097,'Broiler chicken'
322,162.833,161.938,-0.896,'Palm Oil'
323,45.2,47.133,1.933,'Ata (loose) - White'
324,65,66.487,1.487,'Rice - Medium'
325,41,43.981,2.981,'Egg Farm-Red'
326,52.083,47.209,-4.874,'Ata (loose) - White'
327,72.5,72.58,0.08,'Onion (local)'
328,710,707.997,-2.003,Beef
329,201.667,191.313,-10.353,'Ginger (Imported)'
330,77,77.876,0.876,'Rice - Fine'
331,30,18.896,-11.104,'Potato (Holland) - Red'
332,165,161.207,-3.793,'Ginger (Imported)'
333,768.333,772.872,4.538,Beef
334,173.045,173.784,0.739,'Broiler chicken'
335,181,172.451,-8.549,'Pangash (big)'
336,168.5,151.675,-16.825,'Green Chili (Local)'
337,110,104.106,-5.894,'Garlic (local) - Big Size'
338,147.625,148.726,1.101,'Garlic (Imported)'
339,71.875,73.409,1.534,'Onion (local)'
340,147.5,142.364,-5.136,'Lentils - Desi-Whole'
341,162.833,161.425,-1.409,'Palm Oil'
342,44.333,45.336,1.003,'Ata (loose) - White'
343,201.25,188.361,-12.889,'Green Chili (Local)'
344,165,161.988,-3.012,'Ginger (Imported)'
345,19,18.444,-0.556,'Potato (Holland) - Red'
346,180,180.622,0.622,'Green Chili (Local)'
347,44.5,47.523,3.023,'Egg Farm-Red'
348,173.5,174.075,0.575,'Soybean Oil(loose)'
349,153.333,174.629,21.295,'Green Chili (Local)'
350,167.5,165.858,-1.642,'Palm Oil'
351,49,46.565,-2.435,'Ata (loose) - White'
352,90,90.739,0.739,'Garlic (local) - Big Size'
353,175,176.846,1.846,'Pangash (big)'
354,175.5,174.759,-0.741,'Soybean Oil(loose)'
355,159.5,159.1,-0.4,'Palm Oil'
356,175,177.802,2.802,'Pangash (big)'
357,105,105.233,0.233,'Garlic (local) - Big Size'
358,72.5,71.217,-1.283,'Onion (local)'
359,170,165.048,-4.952,'Broiler chicken'
360,19,19.362,0.362,'Potato (Holland) - Red'
361,155,148.59,-6.41,'Garlic (Imported)'
362,768.333,771.953,3.62,Beef
363,100,106.575,6.575,'Garlic (local) - Big Size'
364,190,194.761,4.761,'Green Chili (Local)'
365,49,46.795,-2.205,'Ata (loose) - White'
366,177.5,167.249,-10.251,'Broiler chicken'
367,163.5,160.018,-3.482,'Palm Oil'
368,151.667,156.545,4.878,'Garlic (Imported)'
369,43,43.499,0.499,'Egg Farm-Red'
370,167.5,166.476,-1.024,'Palm Oil'
371,175,172.429,-2.571,'Broiler chicken'
372,76,76.506,0.506,'Rice - Fine'
373,67.5,71.284,3.784,'Onion (local)'
374,55.5,55.567,0.067,'Ata (Packet)'
375,110,110.226,0.226,'Garlic (local) - Big Size'
376,159,158.227,-0.773,'Palm Oil'
377,112.5,111.042,-1.458,'Garlic (local) - Big Size'
378,48,47.477,-0.523,'Egg Farm-Red'
379,57.667,57.907,0.24,'Ata (Packet)'
380,175,175.668,0.668,'Pangash (big)'
381,170,162.07,-7.93,'Broiler chicken'
382,176.375,175.905,-0.47,'Soybean Oil(loose)'
383,57.667,58.775,1.108,'Ata (Packet)'
384,49,44.284,-4.716,'Egg Farm-Red'
385,77,76.642,-0.358,'Rice - Fine'
386,145,153.355,8.355,'Green Chili (Local)'
387,49,46.687,-2.313,'Ata (loose) - White'
388,162.5,160.236,-2.264,'Ginger (Imported)'
389,177.5,175.163,-2.337,'Broiler chicken'
390,49,49.558,0.558,'Ata (loose) - White'
391,163.5,161.948,-1.552,'Palm Oil'
392,225,182.259,-42.741,'Green Chili (Local)'
393,210,187.388,-22.612,'Green Chili (Local)'
394,201.667,194.392,-7.275,'Ginger (Imported)'
395,175,171.373,-3.627,'Broiler chicken'
396,70.833,69.089,-1.745,'Onion (local)'
397,64,62.672,-1.328,'Rice - Medium'
398,83.5,82.841,-0.659,'Rice - Fine'
399,77,76.71,-0.29,'Rice - Fine'
400,165,158.528,-6.472,'Ginger (Imported)'
401,165,167.259,2.259,'Broiler chicken'
402,731,729.72,-1.28,Beef
403,145,173.747,28.747,'Green Chili (Local)'
404,130,167.106,37.106,'Green Chili (Local)'
405,49,44.896,-4.104,'Egg Farm-Red'
406,185,182.64,-2.36,'Pangash (big)'
407,182.5,174.228,-8.272,'Broiler chicken'
408,155,154.09,-0.91,'Garlic (Imported)'
409,735,735.718,0.718,Beef
410,175.5,171.129,-4.371,'Soybean Oil(loose)'
411,162.5,163.265,0.765,'Ginger (Imported)'
412,210,166.342,-43.658,'Green Chili (Local)'
413,175.3,175.598,0.298,'Soybean Oil(loose)'
414,49,50.778,1.778,'Ata (Packet)'
415,159.5,158.262,-1.238,'Palm Oil'
416,165,180.031,15.031,'Ginger (Imported)'
417,79,77.532,-1.468,'Rice - Fine'
418,43,43.433,0.433,'Egg Farm-Red'
419,44.5,44.859,0.359,'Ata (loose) - White'
420,156,156.785,0.785,'Palm Oil'
421,170,160.527,-9.473,'Broiler chicken'
422,157.5,155.927,-1.573,'Broiler chicken'
423,720,722.786,2.786,Beef
424,57.667,57.325,-0.341,'Ata (Packet)'
425,44.5,45.178,0.678,'Ata (loose) - White'
426,90,86.301,-3.699,'Garlic (local) - Big Size'
427,185,182.838,-2.162,'Pangash (big)'
428,148.75,151.708,2.958,'Lentils - Desi-Whole'
429,175.5,174.635,-0.865,'Soybean Oil(loose)'
430,173.5,173.288,-0.212,'Soybean Oil(loose)'
431,735,737.113,2.113,Beef
432,163.5,157.574,-5.926,'Palm Oil'
433,67.5,71.437,3.937,'Onion (local)'
434,201.667,181.033,-20.634,'Ginger (Imported)'
435,80,80.169,0.169,'Rice - Fine'
436,200,201.452,1.452,'Green Chili (Local)'
437,145,149.352,4.352,'Green Chili (Local)'
438,150,150.939,0.939,'Garlic (Imported)'
439,110,108.152,-1.848,'Garlic (local) - Big Size'
440,44.5,44.19,-0.31,'Egg Farm-Red'
441,53.167,52.975,-0.192,'Ata (Packet)'
442,44.5,41.904,-2.596,'Egg Farm-Red'
443,49,46.398,-2.602,'Ata (loose) - White'
444,162.5,160.066,-2.434,'Ginger (Imported)'
445,44.5,44.579,0.079,'Ata (loose) - White'
446,145,148.255,3.255,'Lentils - Desi-Whole'
447,130,139.812,9.812,'Garlic (Imported)'
448,180,207.999,27.999,'Green Chili (Local)'
449,148.75,149.62,0.87,'Lentils - Desi-Whole'
450,55,59.008,4.008,'Ata (Packet)'
451,157.5,154.159,-3.341,'Broiler chicken'
452,105,100.522,-4.478,'Garlic (local) - Big Size'
453,170,180.979,10.979,'Green Chili (Local)'
454,19,18.097,-0.903,'Potato (Holland) - Red'
455,130,144.234,14.234,'Garlic (Imported)'
456,83.5,82.363,-1.137,'Rice - Fine'
457,162.5,162.25,-0.25,'Ginger (Imported)'
458,115,119.812,4.812,'Ginger (Imported)'
459,44.5,43.156,-1.344,'Egg Farm-Red'
460,62.167,62.412,0.246,'Rice - Medium'
461,44.5,43.961,-0.539,'Egg Farm-Red'
462,157,156.088,-0.912,'Palm Oil'
463,176.875,173.271,-3.604,'Broiler chicken'
464,157.5,157.979,0.479,'Palm Oil'
465,178.75,173.952,-4.798,'Pangash (big)'
466,165,178.751,13.751,'Ginger (Imported)'
467,45.2,47.216,2.016,'Ata (loose) - White'
468,182.5,181.923,-0.577,'Soybean Oil(loose)'
469,720,721.309,1.309,Beef
470,44.5,43.961,-0.539,'Egg Farm-Red'
471,171,171.905,0.905,'Soybean Oil(loose)'
472,179.167,177.356,-1.811,'Soybean Oil(loose)'
473,47,45.764,-1.236,'Egg Farm-Red'
474,201.667,177.648,-24.019,'Ginger (Imported)'
475,68.5,68.412,-0.088,'Rice - Medium'
476,155,153.964,-1.036,'Lentils - Desi-Whole'
477,710,710.591,0.591,Beef
478,130,137.802,7.802,'Garlic (Imported)'
479,156,155.653,-0.347,'Palm Oil'
480,55,59.008,4.008,'Ata (Packet)'
481,44.5,44.058,-0.442,'Ata (loose) - White'
482,157.5,161.809,4.309,'Broiler chicken'
483,53.167,52.894,-0.272,'Ata (Packet)'
484,162.5,162.25,-0.25,'Ginger (Imported)'
485,105,105.903,0.903,'Garlic (local) - Big Size'
486,170,166.007,-3.993,'Pangash (big)'
487,67.5,69.73,2.23,'Onion (local)'
488,57.667,59.385,1.719,'Ata (Packet)'
489,170,161.592,-8.408,'Green Chili (Local)'
490,145,192.756,47.756,'Green Chili (Local)'
491,175,172.05,-2.95,'Pangash (big)'
492,260,226.578,-33.422,'Green Chili (Local)'
493,49,49.631,0.631,'Ata (loose) - White'
494,175,170.717,-4.283,'Broiler chicken'
495,145,156.942,11.942,'Garlic (Imported)'
496,54,50.576,-3.424,'Ata (Packet)'
497,60,59.385,-0.615,'Ata (Packet)'
498,260,237.898,-22.102,'Green Chili (Local)'
499,48,46.832,-1.168,'Egg Farm-Red'
500,16.5,17.676,1.176,'Potato (Holland) - Red'
501,80,78.815,-1.185,'Rice - Fine'
502,157.167,156.976,-0.191,'Palm Oil'
503,731,728.545,-2.455,Beef
504,159,158.895,-0.105,'Palm Oil'
505,65,64.645,-0.355,'Rice - Medium'
506,155,165.11,10.11,'Green Chili (Local)'
507,64,62.847,-1.153,'Rice - Medium'
508,43,42.864,-0.136,'Egg Farm-Red'
509,135,193.026,58.026,'Ginger (Imported)'
510,735,739.807,4.807,Beef
511,173.5,179.798,6.298,'Soybean Oil(loose)'
512,75,75.006,0.006,Milk
513,46.5,47.797,1.297,'Ata (loose) - White'
514,155,160.657,5.657,'Broiler chicken'
515,103.333,90.377,-12.956,'Garlic (local) - Big Size'
516,105,106.106,1.106,'Garlic (local) - Big Size'
517,48,45.527,-2.473,'Ata (loose) - White'
518,151.667,150.952,-0.715,'Garlic (Imported)'
519,135,176.517,41.517,'Ginger (Imported)'
520,57.5,68.268,10.768,'Onion (local)'
521,64,62.847,-1.153,'Rice - Medium'
522,48,47.272,-0.728,'Egg Farm-Red'
523,155,159.495,4.495,'Broiler chicken'
524,176.625,177.355,0.73,'Soybean Oil(loose)'
525,175,176.833,1.833,'Pangash (big)'
526,68.5,68.412,-0.088,'Rice - Medium'
527,45.5,45.178,-0.322,'Egg Farm-Red'
528,78,78.374,0.374,'Rice - Fine'
529,157.167,156.765,-0.402,'Palm Oil'
530,162.5,165.576,3.076,'Broiler chicken'
531,55,58.264,3.264,'Ata (Packet)'
532,49,46.554,-2.446,'Ata (loose) - White'
533,173,169.695,-3.305,'Soybean Oil(loose)'
534,145,146.403,1.403,'Lentils - Desi-Whole'
535,68,70.33,2.33,'Onion (local)'
536,185,185.186,0.186,'Pangash (big)'
537,67.5,73.395,5.895,'Onion (local)'
538,47.5,45.459,-2.041,'Ata (loose) - White'
539,175,173.199,-1.801,'Broiler chicken'
540,79,77.887,-1.113,'Rice - Fine'
541,157.5,158.329,0.829,'Palm Oil'
542,41,41.682,0.682,'Egg Farm-Red'
543,54,50.068,-3.932,'Ata (Packet)'
544,165,146.838,-18.162,'Ginger (Imported)'
545,731,728.783,-2.217,Beef
546,160,168.471,8.471,'Broiler chicken'
547,46.167,45.753,-0.414,'Ata (loose) - White'
548,76,76.858,0.858,'Rice - Fine'
549,85,85.707,0.707,'Garlic (local) - Big Size'
550,100,104.617,4.617,'Garlic (local) - Big Size'
551,48.5,45.924,-2.576,'Egg Farm-Red'
552,105,106.106,1.106,'Garlic (local) - Big Size'
553,43.5,43.893,0.393,'Egg Farm-Red'
554,105,105.903,0.903,'Garlic (local) - Big Size'
555,68,71.448,3.448,'Onion (local)'
556,210,263.084,53.084,'Green Chili (Local)'
557,768.333,767.396,-0.938,Beef
558,175,177.638,2.638,'Pangash (big)'
